Qty,Reference,Value,PARTNO,DK,LCSC
1,R6,0,RC0402JR-070RL,311-0.0JRCT-ND,
1,C13,100pF,885012005013,732-7431-1-ND,
1,C50,470pF,CL05B471KB5NNNC,1276-1566-1-ND,
1,C11,1000pF,CC0805KRX7R9BB102,311-1127-1-ND,
7,C8 C12 C29 C47 C49 C52 C53,0.1uF,CL05A104KO5NNNC,1276-1234-1-ND,
1,L1,300nH,104CDMCCDS-R30MC,,
21,C1 C5 C21 C22 C23 C26 C27 C28 C30 C31 C32 C33 C34 C35 C36 C41 C42 C44 C45 C46 C48,1uF,EMK105BJ105MV-F,587-5514-1-ND,
3,C6 C7 C9,10uF,GRM188R61E106KA73D,490-18214-1-ND,
10,C2 C3 C4 C17 C18 C19 C20 C43 C51 C54,100uF,CL31A107MQHNNNE,1276-1782-1-ND,
1,R12,1,CSR1206FT1R00,CSR1206FT1R00CT-ND,
1,R11,10,RC0402FR-0710RL,311-10.0LRCT-ND,
2,R13 R14,49.9,RC0402FR-0749R9L,311-49.9LRCT-ND,
2,R22 R23,100,RC0402FR-07100RL,311-100LRCT-ND,
1,R19,1k,RC0402FR-071KL,311-1.00KLRCT-ND,
1,R8,3.74k,RC0402FR-073K74L,311-3.74KLRCT-ND,
4,R24 R26 R27 R28,5.6k,RC0402FR-135K6L,13-RC0402FR-135K6LCT-ND,
1,R1,8.25k,RC0402FR-078K25L,311-8.25KLRCT-ND,
4,R15 R16 R17 R25,10k,RC0402JR-0710KL,311-10KJRCT-ND,
1,R9,11.8k,RC0402FR-0711K8L,YAG2958CT-ND,
1,R5,14.7k,RC0402FR-0714K7L,YAG2984CT-ND,
1,R10,68.1k,RC0402FR-0768K1L,YAG3213CT-ND,
1,U7,25MHz,SX3M25.000E20F30THN,,C5137262
1,J1,54-00164,54-00164,839-54-00164CT-ND,C431534
1,U8,BM1370_mode1,,,
1,J6,Conn_01x04,0470531000,WM4330-ND,
1,J7,Conn_01x04,,,
1,U10,EMC2101,EMC2101-R-ACZL-TR,EMC2101-R-ACZL-CT-ND,
1,U4,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N16R8,1965-ESP32-S3-WROOM-1-N16R8CT-ND,
2,SW1 SW2,GT-TC029B-H025-L1N,CS1213AGF260,2449-CS1213AGF260CT-ND,
1,U6,MCP1824T-0802E,MCP1824T-0802E/OT,MCP1824T-0802E/OTCT-ND,
1,U5,MCP1824T-1202E/OT,MCP1824T-1202E/OT,MCP1824T-1202E/OTCT-ND,
1,U3,RT9080-33GJ5,RT9080-33GJ5,1028-1509-1-ND,
1,U9,SN74AVC4T774,SN74AVC4T774PWR,296-24739-1-ND,
1,U2,TPS546D24ARVFR,TPS546D24ARVFR,296-TPS546D24ARVFRCT-ND,
1,J5,USB_C_Receptacle_USB2.0,USB4105-GF-A,2073-USB4105-GF-ACT-ND,
